Occupation_Title	Occupation_Code		Year	Median Annual Salary	Bottom 10%	Top 10%	Estimated Employment	Projected Growth (2016-2026)	Projected Job Openings (2016-2026)**	Top Industries																		
			2008	"$44,490 "	"$28,220 "	"$67,110 "	"114,910"																					
			2009	"$45,600 "	"$29,050 "	"$69,610 "	"105,320"																					
			2010	"$46,430 "	"$29,990 "	"$72,150 "	"89,670"																					
			2011	"$47,250 "	"$31,520 "	"$73,880 "	"85,740"	3%-9%	"20,900"																			
			2012	"$47,870 "	"$31,840 "	"$74,040 "	"83,410"																					
			2013	"$48,800 "	"$32,440 "	"$74,200 "	"88,860"	-2%-2%	"12,400"																			
			2014	"$49,970 "	"$32,820 "	"$75,650 "	"91,520"																					
			2015	"$50,710 "	"$33,260 "	"$77,450 "	"95,280"	-2%	"11,000"																			
			2016	"$51,640 "	"$33,570 "	"$78,770 "	"96,810"			"Professional, Scientific, and Technical Services "																		
																												
Cartographers and Photogrammetrists	17-1021		2005	"$48,250 "	"$29,620 "	"$79,930 "	"11,260"	20%	"6,400"	"Professional, Scientific, and Technical Services (47%), Government (36%), Other Industries (17%)"																		
			2006	"$48,240 "	"$30,910 "	"$80,520 "	"11,430"																					
			2007	"$49,970 "	"$32,380 "	"$83,020 "	"11,460"																					
			2008	"$51,180 "	"$31,440 "	"$87,620 "	"11,690"																					
			2009	"$53,050 "	"$32,520 "	"$90,410 "	"11,750"																					
			2010	"$54,510 "	"$33,260 "	"$92,730 "	"11,670"																					
			2011	"$55,970 "	"$34,810 "	"$92,310 "	"11,240"	20%-28%	"6,100"																			
			2012	"$57,440 "	"$34,850 "	"$94,980 "	"11,490"																					
			2013	"$58,840 "	"$36,390 "	"$94,780 "	"11,290"	15%-21%	"4,900"																			
			2014	"$60,930 "	"$38,610 "	"$97,570 "	"11,610"																					
			2015	"$61,880 "	"$39,470 "	"$98,210 "	"11,970"	14%+	"7,400"																			
			2016	"$62,750 "	"$38,740 "	"$99,800 "	"12,100"			"Professional, Scientific, and Technical Services, Government"																		
																												
Civil Engineering Technicians	17-3022		2005	"$39,210 "	"$24,500 "	"$59,360 "	"90,390"	14% - 19%	"32,800"	"Professional, Scientific, and Technical Services (47%), Government (45%), Other Industries (8%)"																		
			2006	"$40,560 "	"$25,250 "	"$62,920 "	"86,730"																					
			2007	"$42,580 "	"$25,390 "	"$65,010 "	"88,030"																					
			2008	"$44,290 "	"$26,780 "	"$66,690 "	"88,140"																					
			2009	"$45,970 "	"$28,640 "	"$69,410 "	"82,690"																					
			2010	"$46,290 "	"$29,060 "	"$70,450 "	"77,050"																					
			2011	"$46,900 "	"$28,960 "	"$71,610 "	"71,890"	10%-19%	"24,600"																			
			2012	"$47,560 "	"$30,430 "	"$71,800 "	"70,790"																					
			2013	"$47,780 "	"$30,340 "	"$72,080 "	"69,830"	-2%-2%	"15,600"																			
			2014	"$48,340 "	"$31,060 "	"$73,860 "	"71,300"																					
			2015	"$49,260 "	"$31,400 "	"$75,550 "	"71,440"	5%-8%	"21,600"																			
			2016	"$49,980 "	"$31,100 "	"$77,500 "	"72,150"			"Government, Professional, Scientific, and Technical Services "																		
																												
Civil Engineers	17-2051		2005	"$66,190 "	"$44,410 "	"$100,040 "	"229,700"	20%	"114,600"	"Professional, Scientific, and Technical Services (51%), Government (27%), Construction (11%), Other Industries (11%)"																		
			2006	"$68,600 "	"$44,810 "	"$104,420 "	"236,690"																					
			2007	"$71,710 "	"$46,420 "	"$109,100 "	"247,370"																					
			2008	"$74,600 "	"$48,140 "	"$115,630 "	"261,360"																					
			2009	"$76,590 "	"$49,620 "	"$118,320 "	"259,320"																					
			2010	"$77,560 "	"$50,560 "	"$119,320 "	"249,120"																					
			2011	"$77,990 "	"$50,370 "	"$119,620 "	"254,130"	10%-19%	"104,400"																			
			2012	"$79,340 "	"$51,280 "	"$122,020 "	"258,100"																					
			2013	"$80,770 "	"$51,810 "	"$126,190 "	"262,170"	15%-21%	"120,100"																			
			2014	"$82,050 "	"$52,570 "	"$128,110 "	"263,460"																					
			2015	"$82,220 "	"$52,900 "	"$129,850 "	"275,210"	5%-8%	"106,700"																			
			2016	"$83,540 "	"$53,470 "	"$132,880 "	"287,800"			"Professional, Scientific, and Technical Services, Government "																		
																												
Environmental Engineering Technicians	17-3025		2005	"$39,810 "	"$24,540 "	"$63,570 "	"19,900"	20%	"10,400"	"Professional, Scientific, and Technical Services (56%), Government (18%), Administrative and Support Services (12%), Other Industries (14%)"																		
			2006	"$40,560 "	"$25,110 "	"$66,120 "	"20,600"																					
			2007	"$40,690 "	"$25,360 "	"$67,590 "	"21,970"																					
			2008	"$41,100 "	"$26,580 "	"$68,460 "	"20,740"																					
			2009	"$42,350 "	"$27,160 "	"$70,840 "	"20,630"																					
			2010	"$43,390 "	"$28,000 "	"$72,020 "	"18,450"																					
			2011	"$44,850 "	"$28,350 "	"$76,100 "	"19,490"	20%-28%	"8,200"																			
			2012	"$45,350 "	"$28,680 "	"$76,560 "	"18,590"																					
			2013	"$46,160 "	"$29,380 "	"$74,280 "	"18,020"	15%-21%	"7,400"																			
			2014	"$48,170 "	"$30,250 "	"$77,030 "	"18,080"																					
			2015	"$48,650 "	"$29,270 "	"$77,590 "	"17,360"	9%-13%	"6,400"																			
			2016	"$49,170 "	"$29,820 "	"$80,780 "	"16,550"			"Professional, Scientific, and Technical Services, Government"																		
																												
Environmental Engineers	17-2081		2005	"$68,090 "	"$42,570 "	"$104,610 "	"50,140"	20%	"27,900"	"Professional, Scientific, and Technical Services (51%), Government (31%), Other Industries (18%)"																		
			2006	"$69,940 "	"$43,180 "	"$106,230 "	"51,370"																					
			2007	"$72,350 "	"$44,090 "	"$108,670 "	"51,210"																					
			2008	"$74,020 "	"$45,310 "	"$115,430 "	"52,590"																					
			2009	"$77,040 "	"$47,660 "	"$115,750 "	"50,610"																					
			2010	"$78,740 "	"$48,980 "	"$119,060 "	"49,800"																					
			2011	"$79,050 "	"$48,960 "	"$119,560 "	"50,350"	20%-28%	"22,600"																			
			2012	"$80,890 "	"$49,510 "	"$122,290 "	"50,850"																					
			2013	"$82,220 "	"$49,730 "	"$122,690 "	"53,020"	15%-21%	"21,100"																			
			2014	"$83,360 "	"$50,120 "	"$125,380 "	"53,240"																					
			2015	"$84,560 "	"$50,230 "	"$128,440 "	"52,600"	9%-13%	"22,400"																			
			2016	"$84,890 "	"$49,830 "	"$130,120 "	"52,280"			"Professional, Scientific, and Technical Services, Government "																		
																												
"Environmental Science and Protection Technicians, Including Health"	19-4091		2005	"$36,260 "	"$22,950 "	"$57,510 "	"32,460"	20%	"25,200"	"Professional, Scientific, and Technical Services (45%), Government (34%), Other Industries (24%)"																		
			2006	"$38,090 "	"$23,600 "	"$60,700 "	"34,790"																					
			2007	"$39,370 "	"$25,090 "	"$63,670 "	"33,950"																					
			2008	"$40,230 "	"$25,830 "	"$64,580 "	"33,370"																					
			2009	"$40,790 "	"$26,570 "	"$65,190 "	"30,870"																					
			2010	"$41,380 "	"$26,590 "	"$67,630 "	"28,480"																					
			2011	"$42,270 "	"$26,720 "	"$69,820 "	"30,320"	20%-28%	"19,500"																			
			2012	"$41,240 "	"$26,330 "	"$68,620 "	"30,890"																					
			2013	"$41,700 "	"$26,600 "	"$70,650 "	"34,510"	15%-21%	"19,000"																			
			2014	"$42,190 "	"$26,660 "	"$71,240 "	"33,760"																					
			2015	"$43,030 "	"$26,890 "	"$71,860 "	"34,250"	9%-13%	"18,600"																			
			2016	"$44,190 "	"$27,380 "	"$75,980 "	"32,950"			"Professional, Scientific, and Technical Services, Government "																		
																												
Forest and Conservation Technicians	19-4093		2005	"$28,540 "	"$20,450 "	"$45,700 "	"29,940"	7% - 13%	"17,500"	"Government (94%), Other Industries (6%)"																		
			2006	"$30,880 "	"$22,450 "	"$49,380 "	"30,580"																					
			2007	"$33,520 "	"$23,460 "	"$51,040 "	"26,900"																					
			2008	"$32,000 "	"$22,540 "	"$51,810 "	"30,850"																					
			2009	"$32,860 "	"$24,490 "	"$53,080 "	"31,440"																					
			2010	"$33,390 "	"$24,930 "	"$53,780 "	"32,290"																					
			2011	"$34,900 "	"$24,930 "	"$54,190 "	"30,620"	-2% -2%	"15,400"																			
			2012	"$33,920 "	"$24,930 "	"$53,780 "	"31,720"																					
			2013	"$34,910 "	"$24,930 "	"$54,230 "	"29,740"	-3% or lower	"13,400"																			
			2014	"$35,260 "	"$25,180 "	"$54,660 "	"30,310"																					
			2015	"$35,430 "	"$25,430 "	"$54,860 "	"29,810"	-2%	"13,700"																			
			2016	"$35,560 "	"$25,740 "	"$55,510 "	"30,090"			Government 																		
																												
Geological and Petroleum Technicians	19-4041		2005	"$43,750 "	"$21,630 "	"$84,650 "	"11,130"	-2% - 2%	"5,500"	"Mining, Quarrying, and Oil and Gas Extraction (56%), Professional, Scientific, and Technical Services (24%), Manufacturing (11%), Other Industries (9%)"																		
			2006	"$46,160 "	"$22,020 "	"$88,150 "	"11,280"																					
			2007	"$50,950 "	"$25,160 "	"$93,080 "	"13,060"																					
			2008	"$53,360 "	"$26,630 "	"$97,380 "	"14,570"																					
			2009	"$53,240 "	"$28,480 "	"$96,110 "	"14,460"																					
			2010	"$54,020 "	"$29,950 "	"$99,860 "	"13,560"																					
			2011	"$49,690 "	"$28,600 "	"$93,080 "	"14,680"	10%-19%	"7,000"																			
			2012	"$52,700 "	"$26,940 "	"$99,300 "	"15,360"																					
			2013	"$53,410 "	"$28,010 "	"$94,820 "	"15,190"	15%-21%	"8,100"																			
			2014	"$54,810 "	"$26,690 "	"$94,750 "	"16,020"																					
			2015	"$55,610 "	"$24,840 "	"$98,620 "	"16,820"	9%-13%	"8,000"																			
			2016	"$56,470 "	"$25,350 "	"$103,080 "	"15,100"			"Mining, Quarrying, and Oil and Gas Extraction, Professional, Scientific, and Technical Services "																		
																												
Landscape Architects	17-1012		2005	"$54,220 "	"$33,570 "	"$92,310 "	"20,220"	20%	"9,800"	"Professional, Scientific, and Technical Services (52%), Self-Employed (21%), Administrative and Support Services (12%), Other Industries (15%)"																		
			2006	"$55,140 "	"$34,230 "	"$95,420 "	"22,130"																					
			2007	"$57,580 "	"$36,250 "	"$94,700 "	"21,890"																					
			2008	"$58,960 "	"$36,520 "	"$97,370 "	"21,130"																					
			2009	"$60,560 "	"$36,740 "	"$100,530 "	"18,940"																					
			2010	"$62,090 "	"$36,880 "	"$101,530 "	"16,680"																					
			2011	"$63,240 "	"$37,620 "	"$99,560 "	"15,760"	10%-19%	"7,800"																			
			2012	"$64,180 "	"$38,450 "	"$101,850 "	"15,750"																					
			2013	"$64,790 "	"$38,980 "	"$104,360 "	"16,330"	8%-14%	"7,600"																			
			2014	"$64,570 "	"$40,690 "	"$106,120 "	"18,110"																					
			2015	"$63,810 "	"$40,230 "	"$104,710 "	"19,820"	5%-8%	"4,900"																			
			2016	"$63,480 "	"$38,950 "	"$106,770 "	"19,420"			"Professional, Scientific, and Technical Services, Self-Employed"																		
																												
Marine Engineers and Naval Architects	17-2121		2005	"$72,920 "	"$41,730 "	"$111,660 "	"6,550"	3% - 6%	"2,300"	"Professional, Scientific, and Technical Services (43%), Self-Employed (15%), Government (13%), Manufacturing (11%), Other Industries (18%)"																		
			2006	"$72,990 "	"$45,200 "	"$113,320 "	"7,810"																					
			2007	"$76,200 "	"$47,920 "	"$114,490 "	"6,620"																					
			2008	"$74,140 "	"$43,070 "	"$118,630 "	"6,480"																					
			2009	"$74,330 "	"$41,070 "	"$121,960 "	"5,270"																					
			2010	"$79,920 "	"$43,200 "	"$144,350 "	"5,720"																					
			2011	"$84,850 "	"$51,060 "	"$145,790 "	"5,470"	10%-19%	"2,300"																			
			2012	"$88,100 "	"$54,260 "	"$150,560 "	"6,880"																					
			2013	"$89,550 "	"$56,800 "	"$140,390 "	"6,640"	8%-14%	"2,600"																			
			2014	"$92,930 "	"$59,110 "	"$146,840 "	"7,570"																					
			2015	"$93,110 "	"$61,110 "	"$149,330 "	"7,600"	9%-13%	"2,900"																			
			2016	"$93,350 "	"$58,580 "	"$152,450 "	"8,120"			"Professional, Scientific, and Technical Services, Government"																		
																												
"Mining and Geological Engineers, Including Mining Safety Engineers"	17-2151		2005	"$70,070 "	"$43,290 "	"$119,130 "	"5,680"	14% - 19%	"2,600"	"Mining, Quarrying, and Oil and Gas Extraction (51%), Professional, Scientific, and Technical Services (33%), Other Industries (16%)"																		
			2006	"$72,160 "	"$42,040 "	"$128,410 "	"6,810"																					
			2007	"$74,330 "	"$44,690 "	"$127,620 "	"7,150"																					
			2008	"$75,960 "	"$45,020 "	"$122,750 "	"6,900"																					
			2009	"$79,440 "	"$48,400 "	"$119,300 "	"6,310"																					
			2010	"$82,870 "	"$48,950 "	"$129,700 "	"6,270"																					
			2011	"$84,300 "	"$50,620 "	"$136,800 "	"6,630"	10%-19%	"2,000"																			
			2012	"$84,320 "	"$49,680 "	"$140,130 "	"7,640"																					
			2013	"$86,870 "	"$50,390 "	"$149,070 "	"7,990"	8%-14%	"3,000"																			
			2014	"$90,160 "	"$52,780 "	"$159,010 "	"8,200"																					
			2015	"$94,040 "	"$54,180 "	"$180,600 "	"8,000"	5%-8%	"2,700"																			
			2016	"$93,720 "	"$55,490 "	"$160,510 "	"6,940"			"Mining, Quarrying, and Oil and Gas Extraction, Professional, Scientific, and Technical Services "																		
																												
Surveying and Mapping Technicians	17-3031		2005	"$31,290 "	"$19,300 "	"$52,000 "	"63,910"	20%	"29,400"	"Professional, Scientific, and Technical Services (69%), Government (15%), Other Industries (16%)"																		
			2006	"$32,340 "	"$20,020 "	"$53,310 "	"70,940"																					
			2007	"$33,640 "	"$20,670 "	"$55,440 "	"72,410"																					
			2008	"$35,120 "	"$21,680 "	"$58,030 "	"71,920"																					
			2009	"$37,190 "	"$22,680 "	"$59,780 "	"62,940"																					
			2010	"$37,900 "	"$23,450 "	"$60,870 "	"53,870"																					
			2011	"$39,350 "	"$24,420 "	"$63,400 "	"48,590"	10%-19%	"20,000"																			
			2012	"$39,670 "	"$24,180 "	"$65,870 "	"47,000"																					
			2013	"$40,670 "	"$24,950 "	"$66,770 "	"47,950"	8%-14%	"17,000"																			
			2014	"$40,770 "	"$25,270 "	"$67,320 "	"50,750"																					
			2015	"$42,010 "	"$26,060 "	"$68,160 "	"53,620"	-2%	"6,500"																			
			2016	"$42,450 "	"$26,030 "	"$70,280 "	"53,920"			"Professional, Scientific, and Technical Services, Government"																		
																												
Surveyors	17-1022		2005	"$45,860 "	"$25,530 "	"$75,870 "	"54,220"	14% - 19%	"23,300"	"Professional, Scientific, and Technical Services (78%), Government (10%), Other Industries (12%)"																		
			2006	"$48,290 "	"$26,690 "	"$79,910 "	"56,820"																					
			2007	"$51,630 "	"$28,590 "	"$83,510 "	"56,670"																					
			2008	"$52,980 "	"$29,600 "	"$85,620 "	"55,780"																					
			2009	"$54,180 "	"$30,130 "	"$89,120 "	"50,360"																					
			2010	"$54,880 "	"$30,800 "	"$89,930 "	"43,950"																					
			2011	"$55,590 "	"$31,220 "	"$91,100 "	"42,020"	20%-28%	"24,200"																			
			2012	"$56,230 "	"$32,190 "	"$90,920 "	"40,190"																					
			2013	"$56,590 "	"$32,130 "	"$91,790 "	"41,360"	8%-14%	"13,400"																			
			2014	"$57,050 "	"$32,740 "	"$93,370 "	"41,970"																					
			2015	"$58,020 "	"$32,850 "	"$95,800 "	"43,140"	-2%	"13,700"																			
			2016	"$59,390 "	"$33,630 "	"$98,360 "	"43,340"			"Professional, Scientific, and Technical Services, Government "																		
																												
Technical Writers	27-3042		2005	"$55,160 "	"$33,250 "	"$87,550 "	"46,250"	14% - 19%	"16,800"	"Professional, Scientific, and Technical Services (38%), Manufacturing (20%), Information (14%), Other Industries (28%) "																		
			2006	"$58,050 "	"$35,520 "	"$91,720 "	"45,330"																					
			2007	"$60,390 "	"$36,490 "	"$94,550 "	"46,740"																					
			2008	"$61,620 "	"$36,500 "	"$97,460 "	"47,460"																					
			2009	"$62,730 "	"$37,070 "	"$100,020 "	"46,270"																					
			2010	"$63,280 "	"$37,160 "	"$100,910 "	"43,990"																					
			2011	"$64,610 "	"$37,990 "	"$102,250 "	"45,120"	10%-19%	"18,300"																			
			2012	"$65,500 "	"$38,700 "	"$101,660 "	"46,160"																					
			2013	"$67,900 "	"$40,270 "	"$105,760 "	"47,300"	15%-21%	"22,600"																			
			2014	"$69,030 "	"$41,450 "	"$108,460 "	"48,210"																					
			2015	"$70,240 "	"$41,610 "	"$112,220 "	"49,770"	9%-13%	"17,200"																			
			2016	"$69,850 "	"$41,700 "	"$111,260 "	"49,780"			"Professional, Scientific, and Technical Services, Manufacturing"																		
																												
Traffic Technicians	53-6041		2005	"$37,070 "	"$23,330 "	"$55,420 "	"6,990"	7% - 13%	"3,400"	"Government (86%), Other Industries (14%)"																		
			2006	"$37,140 "	"$23,490 "	"$57,250 "	"6,560"																					
			2007	"$38,880 "	"$24,130 "	"$58,730 "	"6,550"																					
			2008	"$39,530 "	"$25,780 "	"$62,250 "	"7,030"																					
			2009	"$41,330 "	"$26,340 "	"$63,430 "	"6,570"																					
			2010	"$41,130 "	"$26,380 "	"$63,770 "	"6,730"																					
			2011	"$42,300 "	"$25,700 "	"$68,190 "	"6,280"	10%-19%	"2,800"																			
			2012	"$38,380 "	"$24,790 "	"$67,250 "	"6,340"																					
			2013	"$39,830 "	"$25,820 "	"$69,300 "	"6,220"	8%-14%	"3,400"																			
			2014	"$43,430 "	"$27,220 "	"$72,130 "	"6,490"																					
			2015	"$43,930 "	"$27,360 "	"$75,030 "	"6,750"	5%-8%	"3,900"																			
			2016	"$45,150 "	"$27,180 "	"$76,720 "	"6,410"			"Government, Professional, Scientific, and Technical Services"																		
																												
Urban and Regional Planners	19-3051		2005	"$55,170 "	"$34,920 "	"$85,940 "	"31,650"	14% - 19%	"14,700"	"Government (79%), Professional, Scientific, and Technical Services (20%), Other Industries (1%)"																		
			2006	"$56,630 "	"$35,610 "	"$86,880 "	"32,640"																					
			2007	"$57,970 "	"$36,950 "	"$88,590 "	"35,040"																					
			2008	"$59,810 "	"$37,960 "	"$91,520 "	"37,120"																					
			2009	"$61,820 "	"$39,460 "	"$94,800 "	"38,950"																					
			2010	"$63,040 "	"$40,410 "	"$96,420 "	"38,830"																					
			2011	"$64,100 "	"$41,040 "	"$98,060 "	"38,320"	10%-19%	"16,800"																			
			2012	"$65,230 "	"$41,490 "	"$97,630 "	"37,620"																					
			2013	"$65,650 "	"$41,350 "	"$97,890 "	"35,940"	8%-14%	"3,400"																			
			2014	"$66,940 "	"$42,220 "	"$99,560 "	"35,820"		"21,400"																			
			2015	"$68,220 "	"$42,940 "	"$102,200 "	"35,480"	5%-8%	"9,400"																			
			2016	"$70,020 "	"$44,170 "	"$105,310 "	"34,810"			"Government, Professional, Scientific, and Technical Services "																		
																												
Writers and Authors	27-3043		2005	"$46,420 "	"$24,320 "	"$89,940 "	"43,020"	14% - 19%	"54,200"	"Self-Employed (69%), Information (11%), Other Industries (20%)"																		
			2006	"$48,640 "	"$25,430 "	"$97,700 "	"43,260"																					
			2007	"$50,660 "	"$26,530 "	"$99,910 "	"44,310"																					
			2008	"$53,070 "	"$28,020 "	"$106,630 "	"44,170"																					
			2009	"$53,900 "	"$28,070 "	"$105,710 "	"43,390"																					
			2010	"$55,420 "	"$28,610 "	"$109,440 "	"40,980"																					
			2011	"$55,870 "	"$28,180 "	"$115,740 "	"40,930"	3%-9%	"47,600"																			
			2012	"$55,940 "	"$27,770 "	"$117,860 "	"41,990"																					
			2013	"$57,750 "	"$28,310 "	"$117,050 "	"43,590"	3%-7%	"31,800"																			
			2014	"$58,850 "	"$28,640 "	"$114,820 "	"43,500"																					
			2015	"$60,250 "	"$29,230 "	"$114,530 "	"43,380"	2%-4%	"26,100"																			
			2016	"$61,240 "	"$29,380 "	"$118,640 "	"44,690"			"Self-Employed, Information"																		
																												
Anthropologists and Archaeologists	19-3091		2005	"$45,910 "	"$27,530 "	"$80,040 "	"4,790"	20%	"4,500"	"Professional, Scientific, and Technical Services (52%), Government (30%), Other Industries (18%)"																		
			2006	"$49,930 "	"$28,940 "	"$81,490 "	"4,960"																					
			2007	"$53,080 "	"$31,130 "	"$84,740 "	"5,250"																					
			2008	"$53,910 "	"$32,150 "	"$89,490 "	"5,230"																					
			2009	"$53,460 "	"$31,530 "	"$87,890 "	"5,570"																					
			2010	"$54,230 "	"$31,310 "	"$89,440 "	"5,100"																					
			2011	"$56,070 "	"$32,160 "	"$89,840 "	"5,370"	20%-28%	"3,800"																			
			2012	"$57,420 "	"$33,330 "	"$91,140 "	"6,060"																					
			2013	"$58,360 "	"$34,320 "	"$92,730 "	"6,560"	15%-21%	"2,600"																			
			2014	"$59,280 "	"$34,580 "	"$933,650 "	"7,040"																					
			2015	"$64,290 "	"$25,440 "	"$97,040 "	"6,980"	2%-4%	"1,200"																			
			2016	"$63,190 "	"$36,910 "	"$99,590 "	"6,470"			"Professional, Scientific, and Technical Services, Government "																		
																												
Market Research Analysts and Marketing Specialists	13-1161		2005	"$57,300 "	"$31,530 "	"$108,990 "	"195,710"	20%	"137,300"	"Professional, Scientific, and Technical Services (28%), Finance and Insurance (11%), Information (10%), Other Industries (51%)"																		
			2006	"$58,820 "	"$32,250 "	"$112,510 "	"213,590"																					
			2007	"$60,300 "	"$33,310 "	"$113,390 "	"220,740"																					
			2008	"$61,070 "	"$33,770 "	"$112,410 "	"230,070"																					
			2009	"$61,580 "	"$34,260 "	"$111,900 "	"226,410"																					
			2010	"$60,570 "	"$33,350 "	"$111,440 "	"261,780"																					
			2011	"$60,250 "	"$33,490 "	"$112,560 "	"318,190"	29% or higher	"191,800"																			
			2012	"$60,300 "	"$33,280 "	"$113,500 "	"392,740"																					
			2013	"$60,800 "	"$33,490 "	"$114,250 "	"430,350"	22% or higher	"188,500"																			
			2014	"$61,290 "	"$33,460 "	"$116,740 "	"468,160"																					
			2015	"$62,150 "	"$33,530 "	"$120,460 "	"506,420"	14%+	"151,400"																			
			2016	"$62,560 "	"$33,950 "	"$121,720 "	"558,630"			"Professional, Scientific, and Technical Services, Finance and Insurance "																		
																												
Sociologists	19-3041		2005	"$52,760 "	"$33,000 "	"$109,350 "	"3,500"	20%	"2,000"	"Professional, Scientific, and Technical Services (45%), Educational Services (37%), Other Industries (18%)"																		
			2006	"$60,290 "	"$36,790 "	"$115,770 "	"3,440"																					
			2007	"$61,140 "	"$36,740 "	"$108,280 "	"3,680"																					
			2008	"$68,570 "	"$40,720 "	"$122,130 "	"4,390"																					
			2009	"$69,620 "	"$41,910 "	"$123,410 "	"4,430"																					
			2010	"$72,360 "	"$44,000 "	"$129,870 "	"3,710"																					
			2011	"$73,670 "	"$43,870 "	"$129,780 "	"2,830"	10%-19%	"1,800"																			
			2012	"$74,960 "	"$43,280 "	"$129,760 "	"2,340"																					
			2013	"$72,430 "	"$39,790 "	"$127,590 "	"2,690"	15%-21%	"1,100"																			
			2014	"$72,810 "	"$39,580 "	"$127,890 "	"2,240"																					
			2015	"$73,760 "	"$36,200 "	"$145,250 "	"2,620"	(-1%) - 1%	300																			
			2016	"$79,750 "	"$41,950 "	"$146,860 "	"2,870"			"Professional, Scientific, and Technical Services, Educational Services"																		
																												
Survey Researchers	19-3022		2005	"$31,140 "	"$16,080 "	"$70,450 "	"21,650"	20%	"13,400"	"Professional, Scientific, and Technical Services (65%), Other Industries (35%)"																		
			2006	"$33,360 "	"$16,720 "	"$73,630 "	"24,140"																					
			2007	"$36,820 "	"$17,240 "	"$78,040 "	"22,140"																					
			2008	"$36,220 "	"$17,650 "	"$75,940 "	"21,100"																					
			2009	"$35,380 "	"$17,860 "	"$76,710 "	"20,300"																					
			2010	"$36,050 "	"$18,660 "	"$78,030 "	"17,850"																					
			2011	"$40,150 "	"$19,260 "	"$85,080 "	"17,060"	20%-28%	"9,900"																			
			2012	"$45,050 "	"$19,640 "	"$89,080 "	"17,370"																					
			2013	"$47,720 "	"$18,950 "	"$92,640 "	"17,370"	15%-21%	"5,600"																			
			2014	"$49,760 "	"$19,000 "	"$95,070 "	"15,410"																					
			2015	"$53,920 "	"$22,300 "	"$99,500 "	"13,650"	9%-13%	"3,900"																			
			2016	"$54,470 "	"$25,680 "	"$100,250 "	"11,930"			"Professional, Scientific, and Technical Services, Educational Services "																		
																												
Tour Guides and Escorts 	39-7011		2005	"$19,990 "	"$13,240 "	"$33,330 "	"28,320"	7% - 13%	"20,600"	"Arts, Entertainment, and Recreation (40%), Administrative and Support Services (18%), Self-Employed (15%), Other Industries (27%)"																		
			2006	"$20,420 "	"$13,680 "	"$34,630 "	"30,390"																					
			2007	"$22,110 "	"$14,820 "	"$37,230 "	"31,620"																					
			2008	"$23,270 "	"$15,470 "	"$38,280 "	"31,760"																					
			2009	"$23,750 "	"$16,060 "	"$39,240 "	"31,630"																					
			2010	"$23,290 "	"$16,490 "	"$39,720 "	"29,690"																					
			2011	"$23,620 "	"$16,990 "	"$40,740 "	"30,730"	10%-19%	"19,600"																			
			2012	"$23,940 "	"$17,140 "	"$38,370 "	"31,270"																					
			2013	"$23,770 "	"$17,110 "	"$37,550 "	"34,530"	8%-14%	"23,400"																			
			2014	"$23,930 "	"$17,200 "	"$37,800 "	"35,100"																					
			2015	"$24,100 "	"$17,790 "	"$39,410 "	"35,930"	5%-8%	"19,300"																			
			2016	"$24,920 "	"$18,300 "	"$43,060 "	"38,660"			"Arts, Entertainment, and Recreation, Administrative and Support Services"																		
																												
Travel Agents	41-3041		2005	"$28,670 "	"$18,150 "	"$45,210 "	"88,590"	-2% - 2%	"7,900"	"Administrative and Support Services (77%), Self-Employed (17%), Other Industries (6%)"																		
			2006	"$29,210 "	"$18,100 "	"$46,270 "	"87,600"																					
			2007	"$30,130 "	"$18,250 "	"$47,650 "	"85,580"																					
			2008	"$30,570 "	"$18,770 "	"$47,860 "	"86,420"																					
			2009	"$30,790 "	"$19,240 "	"$47,370 "	"76,990"																					
			2010	"$31,870 "	"$19,610 "	"$50,620 "	"70,930"																					
			2011	"$33,930 "	"$19,620 "	"$54,640 "	"67,490"	10%-19%	"17,200"																			
			2012	"$34,600 "	"$19,930 "	"$57,400 "	"64,680"																					
			2013	"$34,530 "	"$19,640 "	"$57,910 "	"64,250"	-3%	"11,100"																			
			2014	"$34,800 "	"$19,680 "	"$59,070 "	"64,750"																					
			2015	"$35,660 "	"$20,050 "	"$60,200 "	"66,560"	-2%	"11,500"																			
			2016	"$36,460 "	"$20,670 "	"$61,980 "	"68,680"			"Administrative and Support Services, Self-Employed"																		
																												
Travel Guides	39-7012		2005	"$29,240 "	"$17,750 "	"$46,270 "	"3,120"	-2% - 2%	"2,400"	"Administrative and Support Services (58%), Self-Employed (15%), Other Industries (27%)"																		
			2006	"$28,460 "	"$17,060 "	"$48,580 "	"3,220"																					
			2007	"$30,650 "	"$18,050 "	"$51,900 "	"3,520"																					
			2008	"$30,360 "	"$17,220 "	"$56,340 "	"4,510"																					
			2009	"$31,300 "	"$17,370 "	"$54,440 "	"4,270"																					
			2010	"$29,780 "	"$16,920 "	"$55,600 "	"3,620"																					
			2011	"$30,670 "	"$17,890 "	"$54,170 "	"4,110"	20%-28%	"2,600"																			
			2012	"$30,780 "	"$18,600 "	"$59,100 "	"4,210"																					
			2013	"$33,820 "	"$19,600 "	"$58,720 "	"4,250"	3%-7%	"3,000"																			
			2014	"$35,100 "	"$20,490 "	"$60,730 "	"3,090"																					
			2015	"$34,180 "	"$19,940 "	"$57,300 "	"2,810"	(-1%) -1%	"1,500"																			
			2016	"$32,100 "	"$19,030 "	"$58,400 "	"3,030"			"Administrative and Support Services, Arts, Entertainment, and Recreation"																		
																												
